nom;ville
Centre de vaccination - Parc d'activité Saint-Ouen-l’Aumône;Saint-Ouen-l'Aumône
UHSI Lille;Lille
Centre de Vaccination - EVRON-;Évron
Centre de Vaccination - MAYENNE - Salle polyvalente;Mayenne
Ancienne école Jean Giraudoux - Le Blanc;Le Blanc
centre de vaccination CH EMBRUN;Embrun
Centre de vaccination - CH Calais;Calais
UHSA LILLE SECLIN;Lille
CH René Muret AP HP (Sevran);Sevran
Centre de PMI et de planification Cannes;Cannes
Centre de PMI et de planification Carros;Carros
Salle polyvalente Cuiry de Gien;Gien
Centre de  vaccination CH de Cavaillon;Cavaillon
Louviers : maison des sports et associations;Louviers
Centre de vaccination UGECAM d'Illkirch-Graffenstaden ;Illkirch-Graffenstaden
Centre de vaccination de Gueugnon;Gueugnon
Centre de vaccination de Sainte Luce;Sainte-Luce
Centre de vaccination de Fontoy - Mairie;Fontoy
Centre de Vaccination d'Arette;Arette
Centre de PMI et de planification Grasse - Maison des Alpes-Maritimes;Grasse
Grand centre 70;Vesoul
SOS Médecin;Besançon
Lieu de vaccination FRESNES EN WOEVRE - MSP;Fresnes-en-Woëvre
GOUAREC - Bel Air;Gouarec
UHSI NANCY;Nancy
Centre de vaccination - CPTS BBH, maison communale d'animation;Wormhout
Centre de vaccination éphémère de Morne à l'eau;Morne-à-l'Eau
Centre de vaccination - Lormont Carriet - Salle Léo Lagrange;Lormont
Centre de vaccination éphémère - Centre de formation des sapeurs-pompiers de Saint -Priest ;Saint-Priest
UHSA RENNES;Rennes
Centre de vaccination - Centre municipal de santé;Romainville
Centre Municipal de Santé - Gymnase Maurice Baquet;Pantin
Centre de vaccination du CH Troyes( ancien LIDL);Troyes
BRUZ - Parc Expo Rennes Aéroport;Bruz
Polyclinique de Franche-Comté;Besançon
UHSI RENNES ;Rennes
Lieu de vaccination de COMMERCY (salle du Marlat);Commercy
Valognes : salle du chateau;Valognes
Lieu de vaccination de DAMVILLERS - MSP;Damvillers
UHSI BORDEAUX;Talence
Maison de quartier de la Rivière des Galets;La Possession
UHSI Lyon;Lyon
MSP Usson du Poitou;Usson-du-Poitou
Lieu de vaccination d' ETAIN (salle Brasse et Focosi);Étain
Centre de vaccination - OFII ;Cergy
CV éphémère Château-Renard;Château-Renard
UHSA CADILLAC;Cadillac
Centre de vaccination - Châteauneuf-sur-Loire - Espace Florian;Châteauneuf-sur-Loire
CH de Rambouillet;Rambouillet
CHRU Tours / Centre de vaccination - réservé aux professionnels en exercice;Tours
UHSA TOULOUSE;Toulouse
Centre gérontologique départemental;Marseille
EMV SOS Médecins Paris 17e;Paris
Grand centre de vaccination;Charleville-Mézières
CH JONZAC (réservé aux professionnels de santé);Jonzac
Lieu de vaccination de Varennes en Argonne (salle polyvalente);Varennes-en-Argonne
RENNES -  Centre Villejean Malifeu (enfants);Rennes
Andros Biars-sur-Cère;Biars-sur-Cère
